species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;TPR_perc;Latitude;Belt;Longitude;Loc_nr;years_nr;mean_year;period_orig;N_nests;Exposure
Calidris_himantopus;Scolopaci;Scolopacidae;15;2;0.013102725;0.023102725;YES;0.271336876;27.1336876;70.38;Arctic;-149.534;73;4;1990;before 2000;29;381.6
Calidris_melanotos;Scolopaci;Scolopacidae;18;1;0.015323322;0.025323322;YES;0.330678238;33.0678238;70.38;Arctic;-149.534;73;4;1998;before 2000;141;1957.8
Calidris_pusilla;Scolopaci;Scolopacidae;22;1;0.010074786;0.020074786;YES;0.211764346;21.1764346;70.38;Arctic;-149.534;73;5;1995;before 2000;196;2580.7
Limnodromus_scolopaceus;Scolopaci;Scolopacidae;70;1;0.013302295;0.023302295;YES;0.277288664;27.7288664;70.38;Arctic;-149.534;73;4;1990;before 2000;17;225.525
Phalaropus_fulicarius;Scolopaci;Scolopacidae;80;1;0.009746589;0.019746589;YES;0.20013496;20.013496;70.38;Arctic;-149.534;73;4;1990;before 2000;56;718.2
Tryngites_subruficollis;Scolopaci;Scolopacidae;102;1;0.01610306;0.02610306;YES;0.354881536;35.4881536;70.38;Arctic;-149.534;73;4;1990;before 2000;26;372.6
Calidris_pusilla;Scolopaci;Scolopacidae;22;6;0.041516246;0.051516246;NO;0.630816932;63.0816932;70.6;Arctic;-154.7;58;4;2012;after 2000;203;2216
Limnodromus_scolopaceus;Scolopaci;Scolopacidae;70;3;0.033212996;0.043212996;NO;0.559169142;55.9169142;71.3;Arctic;-156.6;10;8;2011;after 2000;171;2077.5
Tryngites_subruficollis;Scolopaci;Scolopacidae;102;2;0.015037594;0.025037594;NO;0.335751356;33.5751356;71.3;Arctic;-156.6;10;1;2006;after 2000;19;266
Calidris_alpina;Scolopaci;Scolopacidae;10;6;0.015267176;0.025267176;NO;0.319292766;31.9292766;73.079;Arctic;80.654;86;1;2002;after 2000;27;393
Calidris_ferruginea;Scolopaci;Scolopacidae;13;2;0.01948052;0.02948052;NO;0.38486733;38.486733;73.079;Arctic;80.654;86;1;2002;after 2000;12;154
Calidris_minuta;Scolopaci;Scolopacidae;19;1;0.019525802;0.029525802;NO;0.383140654;38.3140654;73.079;Arctic;80.654;86;1;2002;after 2000;126;1434
Calidris_ferruginea;Scolopaci;Scolopacidae;13;1;0;0.01;YES;0;0;75.267;Arctic;112.467;109;1;1991;before 2000;25;235
Calidris_maritima;Scolopaci;Scolopacidae;16;1;0.024981548;0.034981548;YES;0.478708676;47.8708676;78.217;Arctic;15.583;78;3;1994;before 2000;34;440.325
Calidris_alba;Scolopaci;Scolopacidae;9;2;0.032404407;0.042404407;NO;0.633846331;63.3846331;74.478;Arctic;-20.555;149;10;2001;after 2000;74;771.5
