who,source_id,species,ref_abb,locality,start_year,year,end_year,nests_total,nests_hatched,nests_predated,nests_abandoned,nests_infertile,nests_failed_other_cause,nests_unknown_fate,nests_total_failed,prop_hatched,prop_predated,daily_survival_rate,ds_lwr,ds_upr,daily_predation_rate,dp_lwr,dp_upr,overall_nest_success,os_lwr,os_upr,overall_predation_rate,op_lwr,op_upr,uncertainty,exposure_days,estimation_method,nest_exposure_interval,nest_search_frequency,nest_check_frequency,when_most_nests_found,incubation_period,egg_laying_period,incubation+laying_period,study_anomaly,comments,nest level data in 'nests',Data quality
rlanctot,58,Tryngites_subruficollis,Moitoret et al. 1996,"Kuparuk Oilfield, North Slope, Alaska",1989,1992,1992,4,3,,,,,,1,,,,,,,,,0.54,0.49,0.59,,,,95%CI,,mayfield,unknown,less than weekly,1-2 per week,unknown,24,,,no,,no,5
eweiser,67,Rhinoptilus_africanus,Lloyd 2004,"Droëgrond, Northern Cape Province",1993,all,1996,12,,,,,,,,,,,,,0.005,0.005,,,,,,,,se,199.5,mayfield,inc+lay,less than weekly,1-2 per week,unknown,28,,,no,,no,4
rlanctot,67,Rhinoptilus_africanus,Lloyd 2004,Kalahari Gemsbok National Park,1993,all,1996,45,,,,,,,,,,,,,0.0084,0.0042,,,,,,,,se,475,mayfield,inc+lay,less than weekly,1-2 per week,unknown,28,,,no,,no,4
bib_await,68,Jacana_spinosa,Stephens 1984,Dr. Rafael Rodriguez National Wildlife Refuge,1980,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rlanctot,85,Burhinus_oedicnemus,Taylor 2006,"Salisbury plain, Wessex",2004,all,2005,122,,50,12,,,,,,,0.9582,,,,,,,,,,,,,,mayfield,observed,1-2 per week,1-2 per week,laying,,,,no,DSR for all nests used - 1st and renests,no,4
FSquirrell,86,Burhinus_oedicnemus,Nadeem at al. 2014,Nag Valley,1999,1999,2001,46,,,,,,,,0.8169,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,unknown,27,,,,,no,3
FSquirrell,86,Burhinus_oedicnemus,Nadeem at al. 2014,Nag Valley,1999,2000,2001,34,,,,,,,,0.7959,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,unknown,27,,,,,no,3
FSquirrell,86,Burhinus_oedicnemus,Nadeem at al. 2014,Nag Valley,1999,2001,2001,26,,,,,,,,0.7419,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,unknown,27,,,,,no,3
bib_await,87,Burhinus_vermiculatus,Dobson 2004,Mpenjati Nature Reserve,2001,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eweiser,88,Pluvianellus_socialis,Lishman & Nol 2012,Santa Cruz Province,2006,2006,2007,17,12,4,0,0,1,0,,,,0.975,,,,,,,,,,,,,,,,unknown,1-2 per week,unknown,24,,,,,,
eweiser,89,Haematopus_bachmani,Tessler & Garding 2006,"Beardslee Islands, Alaska",2004,2004,2005,28,9,1,0,1,17,0,,,,,,,,,,,,,,,,,,,,unknown,less than weekly,unknown,,,,no,failed_other often to flooding. Average across first and second clutches.,,3
eweiser,89,Haematopus_bachmani,Tessler & Garding 2006,"Beardslee Islands, Alaska",2004,2005,2005,87,20,17,0,3,42,5,,,,,,,,,,,,,,,,,,,,unknown,less than weekly,unknown,,,,no,failed_other often to flooding. Average across first and second clutches.,,3
eschlicht,90,Haematopus_palliatus,Sabine at al. 2005,"Cumberland Island, Georgia",2003,all,2004,32,12,13,2,,3,,20,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,,,,"for two nests cause of failure not determined; other causes: flooding (n=1), trampling (n=1), human destruction (n=1)",,
"Cdura, done",91,Haematopus_palliatus,Barbieri & Delchiaro 2009,São Paulo coast,2005,all,2008,22,13,1,,,,8,9,,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,early incubation,25-30,,,,"They observed 1 predation by a caracara (bird of prey from south america), but they don't especify the reason of the other failed nest. However, they say that it's probably due to domestic cats.",,
mbulla,92,Haematopus_moquini,Calf and Underhill 2002,"Robben Island, 7 km from the coast",2001,2001,2002,68,43,14,,,,,,,,,,,,,,,,,,,,,,,,unknown,1-2 per week,unknown,,,,,"nest searched regularly; the chicks of six pairs were found
after hatching",,
"Cdura, done",93,Haematopus_moquini,Scott et al. 2011,De Hoop Nature Reserve,1984,all,1989,U,,1,,,,,22,0.42,,,,,,,,,,,,,,,,,,less than weekly,less than weekly,unknown,,,,,"not much data on nests, no details probided. They comment there is predation from dogs but they don't say how many. They only provide data from nest failure when the kind of failure was identifyed!!!!",,
eweiser,94,Anarhynchus_frontalis,Hughey 1985,Rakaia and Ashey river,1982,1982,1983,20,15,0,0,0,4,1,,0.762,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,,,,,,,no,4
eweiser,94,Charadrius_bicinctus,Hughey 1985,Rakaia and Ashey river,1982,1982,1983,27,19,0,0,0,5,3,,0.704,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,,,,,,,no,4
eweiser,94,Haematopus_finschi (H. ostralegus finchi),Hughey 1985,Rakaia and Ashey river,1982,1982,1983,6,4,0,0,0,2,0,,0.667,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,,,,,,,no,4
eweiser,94,Himantopus_himantopus,Hughey 1985,Rakaia and Ashey river,1982,1982,1983,5,1,0,0,0,4,0,,0.2,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,,,,,,,no,4
eweiser,94,Anarhynchus_frontalis,Hughey 1985,Rakaia and Ashey river,1982,1983,1983,37,12,7,0,0,18,0,,0.3243,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,,,,,,many nests lost in 1983 due to river flooding,no,4
eweiser,94,Charadrius_bicinctus,Hughey 1985,Rakaia and Ashey river,1982,1983,1983,100,45,21,0,0,33,1,,0.45,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,,,,,,,no,4
eweiser,94,Haematopus_finschi (H. ostralegus finchi),Hughey 1985,Rakaia and Ashey river,1982,1983,1983,7,4,2,0,0,1,0,,0.57,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,,,,,,,no,4
eweiser,94,Himantopus_himantopus,Hughey 1985,Rakaia and Ashey river,1982,1983,1983,8,3,1,0,0,4,0,,0.36,,,,,,,,,,,,,,,,,,1-2 per week,1-2 per week,,,,,,,no,4
jreneerkens,95,Gallinago_gallinago,Beintema & Müskens 1987,"The Netherlands, whole country",1974,all,1983,,,,,,,,,,,0.994,0.9933,0.9947,,,,,,,,,,sd,,mayfield,incubation,,1-2 per week,,,,,,DSR estimates for nests that hatched or fell victim to predation only; trampling separately analysed. No sample sizes per species or exposure days were provided.,,5
jreneerkens,95,Haematopus_ostralegus,Beintema & Müskens 1987,"The Netherlands, whole country",1974,all,1983,,,,,,,,,,,0.986,0.985,0.987,,,,,,,,,,sd,,mayfield,incubation,,1-2 per week,,,,,,DSR estimates for nests that hatched or fell victim to predation only; trampling separately analysed. No sample sizes per species or exposure days were provided.,,5
jreneerkens,95,Limosa_limosa,Beintema & Müskens 1987,"The Netherlands, whole country",1974,all,1983,,,,,,,,,,,0.989,0.9883,0.9897,,,,,,,,,,sd,,mayfield,incubation,,1-2 per week,,,,,,DSR estimates for nests that hatched or fell victim to predation only; trampling separately analysed. No sample sizes per species or exposure days were provided.,,5
