"species","Locality","Latitude","Longitude","Belt","period","daily_survival_rate","daily_predation_rate","DPRtrans","DPR_assumption","Incubation_days","source_id","predated","hatched","infertile","other_failed","Failed_together","N.nests","obs_time","Exposure_days","years","mean_year","years_nr","References.and.notes","DPR","TPR"
"Himantopus_himantopus","Doñana + Odiel, Southern Spain",36.95,-6.233,"North temperate","before",0.96775,NA,"NO","Fail_is_depr",27.75,"102",94,139,NA,0,94,233,0.6,3049,"1990-1991",1990.5,2,"Cuervo 2005",0.0308297802558216,0.580625819710568
"Recurvirostra_avosetta","Doñana, Southern Spain",36.95,-6.233,"North temperate","before",0.9715,NA,"NO","Fail_is_depr",27.7,"102",57,107,NA,0,57,164,0.6,2147.5,"1990-1991",1990.5,2,"Cuervo 2005",0.0265424912689173,0.52534191481769
"Himantopus_leucocephalus","Cass river Valley + surrounding",-43.862,170.45,"South temperate","before",NA,NA,"NO","Fail_is_depr",NA,"103",12,113,NA,0,12,125,0.6,353,"1977-1979",1978,3,"Pierce 1986",0.0339943342776204,NA
"Himantopus_novaezelandiae","Cass river Valley + surrounding",-43.862,170.45,"South temperate","before",NA,NA,"NO","Fail_is_depr",27.5,"103",68,-18,NA,0,68,50,0.6,1679.5,"1977-1979",1978,3,"Pierce 1986",0.0404882405477821,0.679089966438435
"Himantopus_mexicanus","San Francisco Bay, California",37.433,-121.967,"North temperate","after",NA,NA,"YES","NA",NA,"104",30,9,0,6,36,45,0.6,0,"2006-2007",2006.5,2,"Herring et al. 2011",NA,NA
"Recurvirostra_americana","San Francisco Bay, California",37.433,-121.967,"North temperate","after",NA,NA,"YES","NA",28.1,"104",56,22,5,15,76,98,0.6,927.3,"2006-2007",2006.5,2,"Herring et al. 2011",0.0603903806750782,0.826290542307683
"Vanellus_vanellus","Dalwhinnie and Kingussie, Scotland",57.009,-4.164,"North temperate","before",0.96,NA,"NO","Fail_is_depr",31,"106",154,90,NA,0,154,244,0.6,4324,"1984-1986",1985,3,"Galbraith 1988",0.0356151711378353,0.675091210246624
"Vanellus_vanellus","Eden Valley and Upper Teesdale",54.575,-2.411,"North temperate","before",NA,NA,"YES","NA",31,"107",343,375,NA,NA,343,718,0.6,10164.9,"1985-1987",1986,3,"Baines 1990",0.0337435685545357,0.654964066892775
"Vanellus_vanellus","Västerfärnebo (""near"" Stockholm)",59.95,16.283,"North temperate","before",0.9702,NA,"NO","NA",31,"108",62.886,428.906,NA,378.208,441.094,870,0.5,12746,"1988-1990",1989,3,"Berg et al. 1992",0.00493378314765417,0.142149834958663
"Vanellus_vanellus","near Gothenburg",57.592,11.976,"North temperate","before",NA,NA,"YES","NA",31,"109",34,148,NA,29,63,211,0.5,2735.75,"1987-1990",1988.5,4,"Blomqvist & Johansson 1995",0.0124280361875171,0.321372710869877
"Calidris_alpina","Varberg, South-West Sweeden",57.126,12.237,"North temperate","before",NA,NA,"YES","NA",25,"110",1,5,NA,3,4,9,0.5,81.25,"1986-1987",1986.5,2,"Flodin et al. 1995",0.0123076923076923,0.266260692239514
"Limosa_limosa","Varberg, South-West Sweeden",57.126,12.237,"North temperate","before",NA,NA,"YES","NA",27,"110",3,5,NA,0,3,8,0.5,87.75,"1986-1987",1986.5,2,"Flodin et al. 1995",0.0341880341880342,0.609069363232763
"Tringa_totanus","Varberg, South-West Sweeden",57.126,12.237,"North temperate","before",NA,NA,"YES","NA",27.75,"110",5,30,NA,4,9,39,0.5,457.875,"1986-1987",1986.5,2,"Flodin et al. 1995",0.0109200109200109,0.262653239531643
"Vanellus_vanellus","Varberg, South-West Sweeden",57.126,12.237,"North temperate","before",NA,NA,"YES","NA",31,"110",16,38,NA,8,24,62,0.5,759.5,"1986-1987",1986.5,2,"Flodin et al. 1995",0.0210664911125741,0.483168429630953
"Philomachus_pugnax","Varberg, South-West Sweeden",57.126,12.237,"North temperate","before",NA,NA,"YES","NA",25.5,"110",0,0,NA,1,1,1,0.5,6.375,"1986-1987",1986.5,1,"Flodin et al. 1995",0,0
"Vanellus_vanellus","Emley marshes, England",51.385,0.805,"North temperate","before",NA,NA,"YES","NA",31,"111",39,44,0,3,42,86,0.5,1007.5,"1997-1997",1997,1,"Hart et al. 2002",0.0387096774193548,0.705902266550918
"Vanellus_vanellus","Holýšov surroundings, West Bohemia",49.589,13.069,"North temperate","before",NA,NA,"YES","NA",31,"112",15,12,0,8,23,35,0.6,409.2,"1992-2001",1996.5,10,"Schröpfer 2002",0.0366568914956012,0.685796627661923
"Vanellus_vanellus","Alke Sorge, Meggerdorf",54.354,9.357,"North temperate","before",NA,NA,"YES","NA",31,"114",NA,NA,NA,NA,NA,NA,0.6,0,"1999-2002",2000,1,"Köster & Bruns 2003",NA,NA
"Vanellus_vanellus","Alke Sorge, Meggerdorf",54.354,9.357,"North temperate","after",NA,NA,"YES","NA",31,"114",NA,NA,NA,NA,NA,NA,0.6,0,"1999-2002",2000.25,3,"Köster & Bruns 2003",NA,NA
"Vanellus_vanellus","Stollhammer Wisch, Northern Lower Saxony",53.523,8.398,"North temperate","after",NA,0.02272,"YES","Fail_is_depr",31,"115",145,100,NA,NA,145,245,0.5,2673.75,"2001-2005",2003,5,"Junker et al. 2006",0.02272,0.509556094381054
"Vanellus_vanellus","Flintshire, North Wales",53.184,-3.114,"North temperate","after",0.967,0.027,"YES","NA",31,"116",135,106,NA,35,170,276,0.6,3441,"2003-2004",2003.5,2,"Sharpe 2006",0.027,0.571946504052769
"Vanellus_vanellus","Netherlands",52.1917324,3.0367669,"North temperate","after",NA,NA,"YES","NA",31,"117",42,129,NA,80,122,251,0.5,2890.75,"2005-2006",2005.5,2,"Kragten & De Snoo 2007",0.0145291014442619,0.364730624034865
"Vanellus_vanellus","Lustenau, Austrian Rhine Valley",47.444,9.698,"North temperate","after",NA,NA,"YES","NA",31,"118",93,26,NA,17,110,136,0.6,1506.6,"2007-2008",2007.5,2,"Puchta et al. 2009",0.0617283950617284,0.861265084026428
"Vanellus_vanellus","Bohemia",49.966793,14.211334,"North temperate","after",NA,0.028,"NO","NA",31,"119",57,47,0,0,57,104,0.5,2004,"2010-2013",2011.5,4,"Zámecníket al. 2017",0.0284431137724551,0.591195879976979
"Vanellus_spinosus","Evros Delta",40.794,26.072,"North temperate","after",NA,NA,"YES","NA",28,"120",0,19,0,20,20,39,0.6,487.2,"2003-2003",2003,1,"Makrigianni et al. 2008",0,0
"Vanellus_coronatus","Harare(Salisbury)",-17.799,31.021,"South tropics","before",NA,NA,"YES","NA",32,"121",1,23,NA,1,2,25,0.9,676.8,"1977-1977",1977,1,"Ade 1979",0.00147754137115839,0.0462143214478051
"Vanellus_cinereus","Kaga city, Ishikawa prefecture",36.293,136.311,"North temperate","after",NA,NA,"YES","NA",30.5,"122",4,33,NA,40,44,77,0.6,1006.5,"2004-2005",2004.5,2,"Takahashi & Ohkawara 2007",0.00397416790859414,0.114367871917565
"Vanellus_novaehollandie","Invercargill, Southland",-46.419,168.288,"South temperate","before",NA,NA,"YES","NA, Fail_is_depr",35,"123",179,292,12,103,294,586,0.5,7525,"1965-1969",1967,5,"Barlow et al. 1972",0.0237873754152824,0.569419169566371
"Vanellus_novaehollandie","Pinjara Hills, Brisbane",-27.536,152.92,"South tropics","before",NA,NA,"YES","NA",35,"124",NA,NA,NA,NA,NA,NA,0.6,0,"1989-1990",1989.5,2,"Giese & Jones 1996",NA,NA
"Vanellus_novaehollandie","Phillip Island, southern Victoria",-38.48,145.224,"South temperate","after",NA,NA,"YES","NA",35,"125",3,26,0,28,31,57,0.5,551.25,"2010-2010",2010,1,"Cardilini et al. 2013",0.0054421768707483,0.1738644222406
"Vanellus_gregarius","Korgalzhyn",50.583,70.017,"North temperate","after",0.943,NA,"NO, YES","Fail_is_depr, NA",28,"126, 127",346,492,0,172,518,1010,0.6,12939.8,"2004-2014",2008.95,10,"Sheldon et al. 2013, Sheldon and Donald in litt., Watson et al. 2006",0.0267392077157298,0.531814035491564
"Vanellus_gregarius","Pavlodar",53.173,76.047,"North temperate","after",NA,NA,"NO","NA",28,"127",67,43,NA,28,95,138,0.6,1572,"2007-2007",2007,1,"Sheldon et al. 2013, Sheldon and Donald in litt.",0.0426208651399491,0.704640577400257
"Vanellus_chilensis","Curitiba, Paraná (CITY!)",-25.45,-49.217,"South tropics","after",NA,NA,"YES","NA",32,"128",0,30,NA,NA,0,30,0.9,864,"2012-2012",2012,1,"Cerboncini et al. 2015, Ricardo Augusto Cerboncini in litt.",0,0
"Vanellus_chilensis","Brasília",-15.815,-47.879,"South tropics","after",0.97653,0.023474,"NO","NA",32,"129",9,22,NA,4,13,35,0.5,639,"2007-2007",2007,1,"Santos in litt., Santos & Macedo 2017",0.0140845070422535,0.364859039536519
"Eudromias_morinellus","Hardangervidda ",60.383,7.633,"Arctic","before",NA,NA,"NO","NA",29,"130",16,37,NA,NA,16,53,0.9,630.5,"1977-1985",1981,9,"Byrkjedal 1987",0.0253766851704996,0.525466264050326
"Pluvialis_apricaria","Hardangervidda ",60.383,7.633,"Arctic","before",NA,NA,"NO","NA",34.5,"130",27,24,NA,NA,27,51,0.9,492,"1977-1985",1981,9,"Byrkjedal 1987",0.0548780487804878,0.857330601832926
"Arenaria_interpres","Medusa Bay, Taimyr",73.079,80.654,"Arctic","after",0.893,NA,"NO","NA",25.9,"131",6,3,NA,NA,6,9,0.6,154,"2000-2002",2001,3,"Schekkerman et al. 2004",0.038961038961039,0.642733941198084
"Calidris_alpina","Medusa Bay, Taimyr",73.079,80.654,"Arctic","after",0.921,NA,"NO","NA",25,"131",6,21,NA,NA,6,27,0.6,797,"2000-2002",2001,3,"Schekkerman et al. 2004",0.00752823086574655,0.172145426228298
"Calidris_ferruginea","Medusa Bay, Taimyr",73.079,80.654,"Arctic","after",0.849,NA,"NO","NA",24.7,"131",3,9,NA,NA,3,12,0.6,303,"2000-2002",2001,3,"Schekkerman et al. 2004",0.0099009900990099,0.217900393160539
"Calidris_minuta","Medusa Bay, Taimyr",73.079,80.654,"Arctic","after",0.886333333333333,NA,"NO","NA",24.5,"131",28,91,NA,7,35,126,0.6,2506,"2000-2002",2001,3,"Schekkerman et al. 2004",0.0111731843575419,0.240643408990951
"Charadrius_hiaticula","Medusa Bay, Taimyr",73.079,80.654,"Arctic","after",0.954666666666667,NA,"NO","NA",28,"131",4,3,NA,NA,4,7,0.6,255,"2000-2002",2001,3,"Schekkerman et al. 2004",0.0156862745098039,0.357698184875357
"Pluvialis_fulva","Medusa Bay, Taimyr",73.079,80.654,"Arctic","after",0.934333333333333,NA,"NO","NA",33.25,"131",9,14,NA,NA,9,23,0.6,854,"2000-2002",2001,3,"Schekkerman et al. 2004",0.0105386416861827,0.296909269656329
"Arenaria_interpres","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",25.9,"133",4,43,NA,1,5,48,0.5,589.225,"1972-1980",1976,9,"Kondrjatev 1982",0.00678857821714965,0.16173725434579
"Calidris_alpina","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",25,"133",16,30,NA,5,21,51,0.5,506.25,"1972-1980",1976,9,"Kondrjatev 1982",0.0316049382716049,0.551962719042892
"Calidris_mauri","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",25,"133",8,12,NA,NA,8,20,0.5,200,"1972-1974",1973,3,"Kondrjatev 1982",0.04,0.639603283141982
"Calidris_melanotos","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",26,"133",8,15,NA,NA,8,23,0.5,247,"1972-1980",1976,9,"Kondrjatev 1982",0.0323886639676113,0.575160743715472
"Calidris_ptilocnemis","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",24,"133",0,2,NA,NA,0,2,0.5,24,"1972-1974",1973,3,"Kondrjatev 1982",0,0
"Calidris_temminckii","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",24.8,"133",5,11,NA,2,7,18,0.5,179.8,"1972-1980",1976,9,"Kondrjatev 1982",0.0278086763070078,0.503129543933575
"Charadrius_hiaticula","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",28,"133",6,13,NA,NA,6,19,0.5,224,"1972-1980",1976,9,"Kondrjatev 1982",0.0267857142857143,0.53244004563575
"Eurynorhynchus_pygmeus","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",23,"133",7,9,NA,NA,7,16,0.5,143.75,"1972-1974",1973,3,"Kondrjatev 1982",0.048695652173913,0.682789117763636
"Limnodromus_scolopaceus","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",24.25,"133",10,11,NA,4,14,25,0.5,218.25,"1972-1980",1976,9,"Kondrjatev 1982",0.0458190148911798,0.679339198138315
"Phalaropus_fulicarius","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",22.8,"133",42,51,NA,5,47,98,0.5,849.3,"1972-1980",1976,9,"Kondrjatev 1982",0.049452490286118,0.685367712713317
"Phalaropus_lobatus","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",22.5,"133",18,29,NA,5,23,52,0.5,455.625,"1972-1980",1976,9,"Kondrjatev 1982",0.0395061728395062,0.596235615761141
"Philomachus_pugnax","Bay of Chaun and Koljuchinskaja",68.61,171.241,"Arctic","before",NA,NA,"YES","NA",25.5,"133",14,26,NA,3,17,43,0.5,439.875,"1972-1980",1976,9,"Kondrjatev 1982",0.0318272236430804,0.561673122527198
